audio_file_name,start_time,end_time,emotion_by_HuBERT,emotion_by_openAI
Large_audio_file.m4a,1.2,2.7,Joy,Joy
Large_audio_file.m4a,3.2,9.7,Neutral,Neutral
Large_audio_file.m4a,9.8,13.0,Neutral,Unknown
Large_audio_file.m4a,13.1,14.7,Joy,Anger
Large_audio_file.m4a,15.2,20.4,Neutral,Neutral
Large_audio_file.m4a,20.6,23.4,Anger,Neutral
Large_audio_file.m4a,24.0,28.9,Neutral,Unknown
Large_audio_file.m4a,29.0,32.6,Neutral,Neutral
Large_audio_file.m4a,33.2,41.5,Neutral,Neutral
Large_audio_file.m4a,41.9,45.6,Neutral,Neutral
Large_audio_file.m4a,45.8,57.1,Neutral,Neutral
Large_audio_file.m4a,57.3,59.2,Anger,Neutral
Large_audio_file.m4a,59.6,66.2,Neutral,Neutral
Large_audio_file.m4a,66.5,72.5,Neutral,Neutral
Large_audio_file.m4a,73.0,76.0,Anger,Neutral
Large_audio_file.m4a,76.2,79.4,Joy,Neutral
Large_audio_file.m4a,79.6,84.6,Neutral,Neutral
Large_audio_file.m4a,85.1,90.1,Neutral,Neutral
Large_audio_file.m4a,90.9,94.4,Neutral,Joy
Large_audio_file.m4a,94.6,97.3,Neutral,Neutral
Large_audio_file.m4a,97.5,98.6,Anger,Neutral
Large_audio_file.m4a,99.1,102.1,Neutral,Neutral
Large_audio_file.m4a,102.2,103.4,Anger,Neutral
Large_audio_file.m4a,103.7,105.4,Anger,Neutral
Large_audio_file.m4a,105.7,108.3,Neutral,Neutral
Large_audio_file.m4a,108.7,109.5,Joy,Neutral
Large_audio_file.m4a,110.0,119.8,Neutral,Unknown
Large_audio_file.m4a,120.1,125.4,Anger,Neutral
Large_audio_file.m4a,125.8,130.4,Neutral,Neutral
Large_audio_file.m4a,131.0,133.7,Neutral,Neutral
Large_audio_file.m4a,133.9,135.5,Neutral,Neutral
Large_audio_file.m4a,135.7,136.8,Anger,Anger
Large_audio_file.m4a,136.9,139.7,Neutral,Neutral
Large_audio_file.m4a,140.2,144.7,Neutral,Neutral
Large_audio_file.m4a,145.0,147.0,Anger,Disgust
Large_audio_file.m4a,147.5,149.3,Anger,Neutral
Large_audio_file.m4a,149.5,151.8,Anger,Joy
Large_audio_file.m4a,152.1,154.4,Neutral,Neutral
Large_audio_file.m4a,154.6,156.1,Anger,Neutral
Large_audio_file.m4a,156.7,157.5,Anger,Neutral
Large_audio_file.m4a,157.7,159.9,Joy,Neutral
Large_audio_file.m4a,160.9,162.9,Anger,Joy
Large_audio_file.m4a,163.2,164.0,Anger,Neutral
Large_audio_file.m4a,164.2,165.6,Anger,Neutral
Large_audio_file.m4a,165.8,168.9,Joy,Neutral
Large_audio_file.m4a,169.1,169.6,Anger,Joy
Large_audio_file.m4a,170.5,173.9,Joy,Neutral
Large_audio_file.m4a,174.2,178.0,Anger,Neutral
Large_audio_file.m4a,178.2,184.4,Anger,Neutral
Large_audio_file.m4a,184.8,187.6,Anger,Neutral
